,mean,std,min,max
fold,3.0,1.5811388300841898,1.0,5.0
param_count,166946.0,0.0,166946.0,166946.0
train_time_s,1639.649092912674,105.43706996747099,1466.5975790023804,1726.0402014255524
train_time_per_epoch_s_mean,122.38315964889175,1.489900059896327,120.28731097493853,124.22884266193097
inference_latency_ms_per_sample,0.006960034370422363,0.0008399298535012416,0.006264820694923401,0.008343532681465149
Valence_MSE,0.13112221658229828,0.011940219409569592,0.12101085484027863,0.15019822120666504
Valence_MAE,0.29096524715423583,0.005649524547724705,0.28514009714126587,0.2990669012069702
Valence_RMSE,0.36181713625736245,0.01622407519781493,0.34786614500448104,0.3875541526118189
Valence_R2,0.9769793391227722,0.0021073589312817563,0.9736235737800598,0.9787435531616211
Valence_Pearson,0.988908588886261,0.0006556783461866897,0.988070011138916,0.9894835352897644
Valence_CCC,0.9883471250534057,0.0008832862952353803,0.9870707988739014,0.989138662815094
Arousal_MSE,0.12189997434616089,0.008197727640151392,0.11580532789230347,0.1349395364522934
Arousal_MAE,0.2836958169937134,0.008629439826347788,0.27742674946784973,0.29867106676101685
Arousal_RMSE,0.34898773618615025,0.011593874343100472,0.34030181882015187,0.3673411717358856
Arousal_R2,0.9793516159057617,0.0014144355608943788,0.9770983457565308,0.9804134964942932
Arousal_Pearson,0.989942479133606,0.0005120853184059533,0.9892914891242981,0.9904541373252869
Arousal_CCC,0.9895288348197937,0.0006629201755840647,0.9884197115898132,0.9900190234184265
Accuracy,0.824000668993736,0.01926694644670766,0.8054535566673918,0.8522318903632804
Precision_macro,0.8191079029175707,0.01585768931530919,0.80560456353002,0.8431997874425002
Recall_macro,0.8540570439066402,0.01635958419910181,0.8374477593220438,0.8778349991589948
F1_macro,0.8130909658517143,0.02113029112568504,0.79269377184249,0.8443053263323146
Precision_weighted,0.8692478791079633,0.008236238965684586,0.8610958782414757,0.8816712067427415
Recall_weighted,0.824000668993736,0.01926694644670766,0.8054535566673918,0.8522318903632804
F1_weighted,0.8292812305600549,0.016294809257388163,0.81501567495296,0.8533609026690733
AUC_class_0,0.7355587012825697,0.009566851892806023,0.7254434763462926,0.7513637340793691
AUC_class_1,0.7660735163063358,0.00733335534408062,0.7569268906633368,0.7739130047509954
AUC_class_2,0.738468380797703,0.006100221167769599,0.730673967794725,0.7454986969963037
AUC_class_3,0.8823474713783772,0.0080610886385457,0.8731550985638166,0.8953956537195478
