,mean,std,min,max
fold,3.0,1.5811388300841898,1.0,5.0
param_count,242338.0,0.0,242338.0,242338.0
train_time_s,8594.339896535874,3375.0840889125784,3469.362492084503,12763.627753257751
train_time_per_epoch_s_mean,203.65866798579688,17.772506019573402,190.17316822902015,232.06394864429126
inference_latency_ms_per_sample,0.008221492171287537,0.0003645078628855337,0.007939711213111877,0.008843094110488892
Valence_MSE,0.19781344383955002,0.07277978688285165,0.10566217452287674,0.3017731308937073
Valence_MAE,0.28053135573863985,0.07022249072042692,0.1868591457605362,0.37384265661239624
Valence_RMSE,0.4385393348174228,0.08289070859754424,0.32505718654242477,0.5493388124770607
Valence_R2,0.9652838468551636,0.012722925462181817,0.9471613168716431,0.9814397096633911
Valence_Pearson,0.9938220262527466,0.000925459995175815,0.9924352169036865,0.9946869611740112
Valence_CCC,0.9797268629074096,0.008143775752748607,0.9680238366127014,0.9898148775100708
Arousal_MSE,0.22556523382663726,0.0763583896504281,0.17991167306900024,0.36003419756889343
Arousal_MAE,0.3259251832962036,0.05039571484565707,0.28993916511535645,0.4124910235404968
Arousal_RMSE,0.47029305332575444,0.07407494363967095,0.424159961652441,0.6000284972973312
Arousal_R2,0.9617957353591919,0.012921669294350364,0.9390528798103333,0.9695240259170532
Arousal_Pearson,0.9947143197059631,0.0015002386877242576,0.9922142624855042,0.9961503148078918
Arousal_CCC,0.9772495269775391,0.008584795070097783,0.9621272683143616,0.9823775291442871
Accuracy,0.8615224873837741,0.11580889714860881,0.675271535193528,0.9721449376877579
Precision_macro,0.8617440577007865,0.0816250166385726,0.7368894747706705,0.9525389938625838
Recall_macro,0.8809635690610044,0.09664498510667047,0.7257594962671798,0.9749213911931037
F1_macro,0.8473193468910217,0.11074174481269321,0.6723116928628995,0.9608984838306142
Precision_weighted,0.9134851514516367,0.06417953036519525,0.8139494691272027,0.977270956152367
Recall_weighted,0.8615224873837741,0.11580889714860881,0.675271535193528,0.9721449376877579
F1_weighted,0.8711375710874611,0.10574212409002591,0.7030869231536536,0.9731118110064959
AUC_class_0,0.7677542747873425,0.007080090314249492,0.7581385860978317,0.7755914944208464
AUC_class_1,0.8161865359097711,0.0201388129851888,0.8008360678899721,0.8489441939720165
AUC_class_2,0.8247088686958504,0.01901336420153612,0.8027726963199927,0.8545857213773624
AUC_class_3,0.9686064505634977,0.017206848483137097,0.945330047591962,0.9901281701261434
