,mean,std,min,max
fold,3.0,1.5811388300841898,1.0,5.0
param_count,318114.0,0.0,318114.0,318114.0
train_time_s,3837.960808610916,841.8592786404703,3229.81370306015,5291.841213941574
train_time_per_epoch_s_mean,260.385459415483,27.556072830772358,211.67270924568177,278.60792330595166
inference_latency_ms_per_sample,0.011363252997398376,0.003499416049381711,0.008560717105865479,0.01580454409122467
Valence_MSE,0.07235466688871384,0.025372999894384386,0.03860398009419441,0.10228120535612106
Valence_MAE,0.16086463779211044,0.0388925632846922,0.11074960976839066,0.2029314786195755
Valence_RMSE,0.26539707496929144,0.04897779454071721,0.19647895585582292,0.31981432950404376
Valence_R2,0.987294054031372,0.004462404968121878,0.9820383191108704,0.9932406544685364
Valence_Pearson,0.9953099250793457,0.0014624245947690204,0.9939088821411133,0.9969649314880371
Valence_CCC,0.9933212280273438,0.0025446520138488675,0.9901500344276428,0.9965955018997192
Arousal_MSE,0.05003552548587322,0.020894918913970762,0.027910372242331505,0.08290525525808334
Arousal_MAE,0.12198406904935837,0.03283751954814062,0.08109582215547562,0.1661462038755417
Arousal_RMSE,0.21998295791593256,0.04531864561676383,0.16706397649502872,0.28793272696601085
Arousal_R2,0.9915281772613526,0.0035287782123708906,0.9859780073165894,0.9952630996704102
Arousal_Pearson,0.9959850072860718,0.0016699063033254308,0.9934210181236267,0.9977740049362183
Arousal_CCC,0.9957459449768067,0.0016848438778295938,0.9931452870368958,0.997585654258728
Accuracy,0.7874459812039529,0.03999964402197628,0.7294257124211442,0.8349840439764108
Precision_macro,0.7976052189104341,0.02945845012964677,0.7552495514620099,0.8334363123661287
Recall_macro,0.822978848012675,0.034252293712076824,0.7730491861744352,0.8638542437320881
F1_macro,0.7764014107329625,0.03917719727933084,0.7197724592253978,0.8236198982010939
Precision_weighted,0.8538879077704875,0.024370844334161403,0.8217225847579998,0.8853228210739501
Recall_weighted,0.7874459812039529,0.03999964402197628,0.7294257124211442,0.8349840439764108
F1_weighted,0.7944023399461908,0.03754188668246528,0.7427245537961267,0.8411995774515462
AUC_class_0,0.7258452403136596,0.007800764937680212,0.7123350106842264,0.7324992316167296
AUC_class_1,0.7759661497241166,0.007303684281007798,0.7632225473335895,0.7817390820771853
AUC_class_2,0.7471031630748388,0.014905168942487394,0.728074401024906,0.7674357864813273
AUC_class_3,0.9239523785405274,0.013400427735692359,0.9077947869639547,0.9379943707897624
