,mean,std,min,max
fold,3.0,1.5811388300841898,1.0,5.0
param_count,879650.0,0.0,879650.0,879650.0
train_time_s,14542.489779901505,4793.74259993892,10261.817137002945,21138.756557941437
train_time_per_epoch_s_mean,452.7982575672439,40.792800117670545,408.55270264766835,503.3015693709964
inference_latency_ms_per_sample,0.013755634427070618,4.3986040822361505e-05,0.01369379460811615,0.01381412148475647
Valence_MSE,0.009719283320009708,0.0017302671069086835,0.00803256593644619,0.0125808734446764
Valence_MAE,0.036889294534921645,0.003921569257581839,0.03265775740146637,0.042385708540678024
Valence_RMSE,0.0982923487581551,0.008507165774724487,0.08962458332648576,0.11216449279819528
Valence_R2,0.9982934355735779,0.00030559357935018116,0.9977888464927673,0.9985935688018799
Valence_Pearson,0.999174165725708,0.00014911613613128067,0.9989261627197266,0.9993034601211548
Valence_CCC,0.9991468191146851,0.00015141742633467318,0.9988982081413269,0.9992973208427429
Arousal_MSE,0.010298787988722325,0.001407499719744303,0.008762616664171219,0.01188646536320448
Arousal_MAE,0.03911971338093281,0.009432978879903922,0.028019694611430168,0.05378200486302376
Arousal_RMSE,0.1012941238913185,0.0069181332211570344,0.09360884928344766,0.10902506759091911
Arousal_R2,0.998255443572998,0.00024008797305890016,0.9979864954948425,0.9985166788101196
Arousal_Pearson,0.9991702795028686,9.301895020053e-05,0.9990366101264954,0.9992626905441284
Arousal_CCC,0.9991290211677551,0.00011678446517832546,0.9990010261535645,0.9992557168006897
Accuracy,0.8323404631355047,0.11239663834466576,0.6565658982686572,0.9459452992271064
Precision_macro,0.8422888997442481,0.07757111419347484,0.7221602936676923,0.9241392937241981
Recall_macro,0.8609700729708878,0.09410569811344789,0.7116369043500664,0.9533825474696244
F1_macro,0.8259942588816219,0.10887117313460262,0.6539524020711253,0.9325729205666937
Precision_weighted,0.883827015709128,0.06036677621171939,0.7982147789614462,0.9566969515962452
Recall_weighted,0.8323404631355047,0.11239663834466576,0.6565658982686572,0.9459452992271064
F1_weighted,0.8371641495712474,0.1035624856435359,0.6807585090322514,0.9474134311622234
AUC_class_0,0.729666665061486,0.009143873631475213,0.7152881534743221,0.7395376699700797
AUC_class_1,0.7600550061636039,0.009377384875247549,0.7501436209679853,0.7698642275421821
AUC_class_2,0.7524312513713831,0.012386466319123716,0.7342977500031103,0.766079184193893
AUC_class_3,0.9003074662693772,0.013857023346696144,0.8851260372741832,0.9168463871976285
